CustomerID,Country,Fav_weekday,Fav_month
13047.0,United Kingdom,Friday,April
14688.0,United Kingdom,Friday,April
17809.0,United Kingdom,Friday,February
16098.0,United Kingdom,Monday,April
18074.0,United Kingdom,Tuesday,January
17420.0,United Kingdom,Thursday,January
16250.0,United Kingdom,Tuesday,January
12431.0,Australia,Friday,April
13705.0,United Kingdom,Monday,February
17924.0,United Kingdom,Monday,January
13448.0,United Kingdom,Thursday,January
15862.0,United Kingdom,Friday,August
16218.0,United Kingdom,Tuesday,August
14307.0,United Kingdom,Friday,April
17908.0,United Kingdom,Tuesday,January
12838.0,United Kingdom,Saturday,January
13255.0,United Kingdom,Tuesday,January
16583.0,United Kingdom,Tuesday,January
18085.0,United Kingdom,Thursday,January
13758.0,United Kingdom,Monday,August
15983.0,United Kingdom,Sunday,December
17968.0,United Kingdom,Tuesday,January
16210.0,United Kingdom,Friday,August
17897.0,United Kingdom,Monday,January
16552.0,United Kingdom,Friday,January
17951.0,United Kingdom,Monday,December
14729.0,United Kingdom,Tuesday,January
15012.0,United Kingdom,Monday,January
12868.0,United Kingdom,Thursday,December
17572.0,United Kingdom,Friday,April
14078.0,United Kingdom,Monday,April
12662.0,Germany,Friday,April
15525.0,United Kingdom,Tuesday,January
14237.0,United Kingdom,Tuesday,January
17905.0,United Kingdom,Tuesday,December
15485.0,United Kingdom,Friday,January
16955.0,United Kingdom,Friday,August
15350.0,United Kingdom,Tuesday,January
15605.0,United Kingdom,Friday,February
18144.0,United Kingdom,Monday,April
15922.0,United Kingdom,Tuesday,January
14594.0,United Kingdom,Saturday,February
15165.0,United Kingdom,Tuesday,January
16456.0,United Kingdom,Sunday,April
17643.0,United Kingdom,Tuesday,January
17873.0,United Kingdom,Saturday,April
17760.0,United Kingdom,Friday,January
13468.0,United Kingdom,Friday,April
16928.0,United Kingdom,Friday,April
16048.0,United Kingdom,Tuesday,January
16274.0,United Kingdom,Tuesday,January
14496.0,United Kingdom,Sunday,January
14696.0,United Kingdom,Friday,December
16539.0,United Kingdom,Thursday,April
17025.0,United Kingdom,Monday,January
17690.0,United Kingdom,Friday,April
12947.0,United Kingdom,Friday,April
18229.0,United Kingdom,Friday,April
14142.0,United Kingdom,Tuesday,January
17069.0,United Kingdom,Friday,April
13065.0,United Kingdom,Tuesday,January
16835.0,United Kingdom,Tuesday,January
15235.0,United Kingdom,Friday,April
13576.0,United Kingdom,Friday,April
18011.0,United Kingdom,Tuesday,January
13090.0,United Kingdom,Friday,April
15694.0,United Kingdom,Friday,April
14741.0,United Kingdom,Friday,August
13715.0,United Kingdom,Friday,December
17732.0,United Kingdom,Friday,February
12855.0,United Kingdom,Friday,February
17855.0,United Kingdom,Friday,February
14047.0,United Kingdom,Friday,February
13941.0,United Kingdom,Friday,February
14135.0,United Kingdom,Friday,August
13108.0,United Kingdom,Friday,February
15658.0,United Kingdom,Friday,February
14388.0,United Kingdom,Friday,April
14901.0,United Kingdom,Friday,August
15955.0,United Kingdom,Friday,April
16244.0,United Kingdom,Friday,December
15111.0,United Kingdom,Friday,April
14390.0,United Kingdom,Friday,April
16546.0,United Kingdom,Friday,February
15260.0,United Kingdom,Friday,April
14491.0,United Kingdom,Friday,February
13305.0,United Kingdom,Friday,August
15923.0,United Kingdom,Friday,February
16752.0,United Kingdom,Friday,February
17287.0,United Kingdom,Friday,February
15363.0,United Kingdom,Friday,February
12915.0,United Kingdom,Friday,February
15738.0,United Kingdom,Friday,April
14180.0,United Kingdom,Friday,April
13117.0,United Kingdom,Friday,April
16916.0,United Kingdom,Friday,February
17964.0,United Kingdom,Friday,August
14466.0,United Kingdom,Friday,April
17235.0,United Kingdom,Friday,February
16510.0,United Kingdom,Friday,February
15107.0,United Kingdom,Friday,December
17976.0,United Kingdom,Friday,February
14449.0,United Kingdom,Friday,February
