CustomerID,I,Iu,Imax,Ep,Eb,Stot,Smax,Savg,NSess,Country,Fav_weekday,Fav_month,K_2,DBS15
13047.0,1296,89,301,6.2516883471627045,2.8831822506652736,2614.81,449.70000000000016,290.5344444444445,146,United Kingdom,Friday,April,1,-1
14688.0,2312,133,251,6.7183272656273925,4.047885509533491,3394.390000000001,402.5,178.65210526315792,264,United Kingdom,Friday,April,1,-1
17809.0,305,27,204,4.754887502163472,1.5760658237994831,729.45,560.4000000000002,182.3625,27,United Kingdom,Friday,February,0,-1
16098.0,435,24,112,4.30524537369136,2.7280766639792393,1107.5100000000002,293.1400000000001,158.21571428571428,54,United Kingdom,Monday,April,0,-1
18074.0,52,8,52,3.0,0.0,185.3,185.3,185.3,8,United Kingdom,Tuesday,January,0,0
17420.0,256,23,112,4.483856189774722,1.4986885704510973,485.08000000000015,215.76,161.69333333333333,25,United Kingdom,Thursday,January,0,0
16250.0,206,21,106,4.349648912578752,0.9876925088958034,373.54000000000013,210.24,186.77,23,United Kingdom,Tuesday,January,0,0
12431.0,1725,141,268,6.981886388444885,3.5683979182782086,3811.150000000001,506.4,272.225,191,Australia,Friday,April,1,-1
13705.0,330,24,134,4.5465935642949376,1.5430224942057835,492.78,204.54,164.26,26,United Kingdom,Monday,February,0,0
17924.0,222,13,156,3.7004397181410926,1.4885252948977483,703.38,500.28,175.845,13,United Kingdom,Monday,January,0,-1
13448.0,1452,121,452,6.777215818852945,2.04681521123577,2956.7500000000023,900.4799999999998,492.79166666666674,171,United Kingdom,Thursday,January,1,-1
15862.0,382,129,117,6.985828835964023,1.7629066545151115,657.29,280.87999999999994,164.3225,134,United Kingdom,Friday,August,1,-1
16218.0,814,49,402,5.563177895342839,1.9630394323636784,1173.2199999999993,440.69999999999993,234.644,55,United Kingdom,Tuesday,August,1,-1
14307.0,1804,136,452,6.9833553951502,2.3680153692585284,2682.61,691.01,447.10166666666674,166,United Kingdom,Friday,April,1,-1
17908.0,140,49,140,5.570538035407182,0.0,218.19999999999993,218.19999999999993,218.19999999999993,52,United Kingdom,Tuesday,January,0,0
12838.0,345,109,222,6.738548895724722,1.0,575.2999999999997,339.79,287.65,114,United Kingdom,Saturday,January,1,0
13255.0,94,8,64,3.0,0.9544340029249648,198.46,142.36,99.23,8,United Kingdom,Tuesday,January,0,0
16583.0,111,14,111,3.8073549220576055,0.0,233.45,233.45,233.45,14,United Kingdom,Tuesday,January,0,0
18085.0,265,25,187,4.582118926162054,0.8935711016541907,689.95,386.05,344.975,29,United Kingdom,Thursday,January,0,0
13758.0,878,83,278,6.331970464374526,2.487377618042429,1955.39,538.51,279.34142857142854,91,United Kingdom,Monday,August,1,-1
15983.0,662,78,241,6.1717476144778525,1.9865935215372943,1119.9100000000003,337.65,279.9775,103,United Kingdom,Sunday,December,1,-1
17968.0,150,73,150,6.146928094887358,0.0,257.15,257.15,257.15,80,United Kingdom,Tuesday,January,0,0
16210.0,772,52,164,5.581954882778696,3.5001560030802024,1664.7999999999995,229.86,118.91428571428571,64,United Kingdom,Friday,August,1,-1
17897.0,211,91,75,6.460115332178978,1.5831950326665196,380.56,154.83999999999997,126.85333333333334,99,United Kingdom,Monday,January,0,0
16552.0,105,11,68,3.459431618637298,0.9456603046006402,189.19000000000003,119.4,94.595,11,United Kingdom,Friday,January,0,0
17951.0,162,10,132,3.3219280948873617,1.1567796494470397,208.38,130.08,69.46000000000001,10,United Kingdom,Monday,December,0,0
14729.0,195,67,195,6.05055344228541,0.0,290.79,290.79,290.79,69,United Kingdom,Tuesday,January,0,0
